,출제연도,출제월,과목,지문번호,문제번호,한자
658,2023,11,국어,2,4,遇
659,2023,11,국어,2,4,目
660,2023,11,국어,2,4,的
661,2023,11,국어,2,4,特
662,2023,11,국어,2,4,定
663,2023,11,국어,2,4,主
664,2023,11,국어,2,4,題
665,2023,11,국어,2,4,專
666,2023,11,국어,2,4,門
667,2023,11,국어,2,4,類
668,2023,11,국어,2,4,書
669,2023,11,국어,2,4,集
670,2023,11,국어,2,4,中
671,2023,11,국어,2,4,的
672,2023,11,국어,2,4,編
673,2023,11,국어,2,4,纂
674,2023,11,국어,2,4,專
675,2023,11,국어,2,4,門
676,2023,11,국어,2,4,類
677,2023,11,국어,2,4,書
678,2023,11,국어,2,4,編
679,2023,11,국어,2,4,纂
680,2023,11,국어,2,4,者
681,2023,11,국어,2,4,未
682,2023,11,국어,2,4,詳
683,2023,11,국어,2,4,類
684,2023,11,국어,2,4,書
685,2023,11,국어,2,4,刊
686,2023,11,국어,2,4,行
687,2023,11,국어,2,4,念
688,2023,11,국어,2,4,頭
689,2023,11,국어,2,4,旣
690,2023,11,국어,2,4,存
691,2023,11,국어,2,4,書
692,2023,11,국어,2,4,籍
693,2023,11,국어,2,4,必
694,2023,11,국어,2,4,要
695,2023,11,국어,2,4,部
696,2023,11,국어,2,4,分
697,2023,11,국어,2,4,拔
698,2023,11,국어,2,4,萃
699,2023,11,국어,2,4,記
700,2023,11,국어,2,4,錄
701,2023,11,국어,2,4,詩
702,2023,11,국어,2,4,文
703,2023,11,국어,2,4,創
704,2023,11,국어,2,4,作
705,2023,11,국어,2,4,科
706,2023,11,국어,2,4,擧
707,2023,11,국어,2,4,試
708,2023,11,국어,2,4,驗
709,2023,11,국어,2,4,等
710,2023,11,국어,2,4,個
711,2023,11,국어,2,4,人
712,2023,11,국어,2,4,的
713,2023,11,국어,2,4,目
714,2023,11,국어,2,4,的
715,2023,11,국어,2,4,類
716,2023,11,국어,2,4,書
717,2023,11,국어,2,4,活
718,2023,11,국어,2,4,用
719,2023,11,국어,2,4,類
720,2023,11,국어,2,4,書
721,2023,11,국어,2,4,編
722,2023,11,국어,2,4,纂
723,2023,11,국어,2,4,傾
724,2023,11,국어,2,4,向
725,2023,11,국어,2,4,持
726,2023,11,국어,2,4,續
727,2023,11,국어,2,4,世
728,2023,11,국어,2,4,紀
729,2023,11,국어,2,4,實
730,2023,11,국어,2,4,學
731,2023,11,국어,2,4,學
732,2023,11,국어,2,4,風
733,2023,11,국어,2,4,潮
734,2023,11,국어,2,4,流
735,2023,11,국어,2,4,形
736,2023,11,국어,2,4,成
737,2023,11,국어,2,4,類
738,2023,11,국어,2,4,書
739,2023,11,국어,2,4,編
740,2023,11,국어,2,4,纂
741,2023,11,국어,2,4,變
742,2023,11,국어,2,4,化
743,2023,11,국어,2,4,實
744,2023,11,국어,2,4,學
745,2023,11,국어,2,4,者
746,2023,11,국어,2,4,類
747,2023,11,국어,2,4,書
748,2023,11,국어,2,4,現
749,2023,11,국어,2,4,實
750,2023,11,국어,2,4,改
751,2023,11,국어,2,4,革
752,2023,11,국어,2,4,編
753,2023,11,국어,2,4,纂
754,2023,11,국어,2,4,意
755,2023,11,국어,2,4,圖
756,2023,11,국어,2,4,知
757,2023,11,국어,2,4,識
758,2023,11,국어,2,4,提
759,2023,11,국어,2,4,供
760,2023,11,국어,2,4,擴
761,2023,11,국어,2,4,散
762,2023,11,국어,2,4,單
763,2023,11,국어,2,4,純
764,2023,11,국어,2,4,整
765,2023,11,국어,2,4,理
766,2023,11,국어,2,4,知
767,2023,11,국어,2,4,識
768,2023,11,국어,2,4,再
769,2023,11,국어,2,4,分
770,2023,11,국어,2,4,類
771,2023,11,국어,2,4,範
772,2023,11,국어,2,4,疇
773,2023,11,국어,2,4,化
774,2023,11,국어,2,4,評
775,2023,11,국어,2,4,價
776,2023,11,국어,2,4,等
777,2023,11,국어,2,4,著
778,2023,11,국어,2,4,述
779,2023,11,국어,2,4,性
780,2023,11,국어,2,4,格
781,2023,11,국어,2,4,讀
782,2023,11,국어,2,4,書
783,2023,11,국어,2,4,見
784,2023,11,국어,2,4,聞
785,2023,11,국어,2,4,朱
786,2023,11,국어,2,4,子
787,2023,11,국어,2,4,學
788,2023,11,국어,2,4,重
789,2023,11,국어,2,4,視
790,2023,11,국어,2,4,知
791,2023,11,국어,2,4,識
792,2023,11,국어,2,4,集
793,2023,11,국어,2,4,積
794,2023,11,국어,2,4,證
795,2023,11,국어,2,4,據
796,2023,11,국어,2,4,理
797,2023,11,국어,2,4,論
798,2023,11,국어,2,4,的
799,2023,11,국어,2,4,考
800,2023,11,국어,2,4,證
801,2023,11,국어,2,4,對
802,2023,11,국어,2,4,意
803,2023,11,국어,2,4,見
804,2023,11,국어,2,4,等
805,2023,11,국어,2,4,境
806,2023,11,국어,2,4,遇
807,2023,11,국어,2,4,朱
808,2023,11,국어,2,4,子
809,2023,11,국어,2,4,學
810,2023,11,국어,2,4,知
811,2023,11,국어,2,4,識
812,2023,11,국어,2,4,便
813,2023,11,국어,2,4,朱
814,2023,11,국어,2,4,子
815,2023,11,국어,2,4,學
816,2023,11,국어,2,4,新
817,2023,11,국어,2,4,知
818,2023,11,국어,2,4,識
819,2023,11,국어,2,4,受
820,2023,11,국어,2,4,容
821,2023,11,국어,2,4,柔
822,2023,11,국어,2,4,軟
823,2023,11,국어,2,4,性
824,2023,11,국어,2,4,開
825,2023,11,국어,2,4,放
826,2023,11,국어,2,4,性
827,2023,11,국어,2,4,廣
828,2023,11,국어,2,4,範
829,2023,11,국어,2,4,圍
830,2023,11,국어,2,4,整
831,2023,11,국어,2,4,理
832,2023,11,국어,2,4,知
833,2023,11,국어,2,4,識
834,2023,11,국어,2,4,識
835,2023,11,국어,2,4,者
836,2023,11,국어,2,4,層
837,2023,11,국어,2,4,接
838,2023,11,국어,2,4,思
839,2023,11,국어,2,4,考
840,2023,11,국어,2,4,客
841,2023,11,국어,2,4,觀
842,2023,11,국어,2,4,的
843,2023,11,국어,2,4,事
844,2023,11,국어,2,4,實
845,2023,11,국어,2,4,探
846,2023,11,국어,2,4,究
847,2023,11,국어,2,4,重
848,2023,11,국어,2,4,視
849,2023,11,국어,2,4,博
850,2023,11,국어,2,4,物
851,2023,11,국어,2,4,學
852,2023,11,국어,2,4,自
853,2023,11,국어,2,4,然
